"PROVA X",""
"X 01‐ B","X 46‐ C"
"X 02‐ A","X 47‐ E"
"X 03‐ C","X 48‐ E"
"X 04‐ E","X 49‐ B"
"X 05‐ E","X 50‐ D"
"X 06‐ C","X 51‐ A"
"X 07‐ A","X 52‐ D"
"X 08‐ B","X 53‐ B"
"X 09‐ E","X 54‐ A"
"X 10‐ D","X 55‐ C"
"X 11‐ C","X 56‐ C"
"X 12‐ E","X 57‐ D"
"X 13‐ B","X 58‐ C"
"X 14‐ C","X 59‐ D"
"X 15‐ C","X 60‐ A"
"X 16‐ A","X 61‐ C"
"X 17‐ D","X 62‐ D"
"X 18‐ E","X 63‐ E"
"X 19‐ B","X 64‐ A"
"X 20‐ A","X 65‐ B"
"X 21‐ B","X 66‐ C"
"X 22‐ D","X 67‐ E"
"X 23‐ C","X 68‐ B"
"X 24‐ B","X 69‐ E"
"X 25‐ A","X 70‐ D"
"X 26‐ D","X 71‐ E"
"X 27‐ C","X 72‐ A"
"X 28‐ E","X 73‐ D"
"X 29‐ D","X 74‐ D"
"X 30‐ D","X 75‐ B"
"X 31‐ B","X 76‐ C"
"X 32‐ E","X 77‐ B"
"X 33‐ C","X 78‐ C"
"X 34‐ B","X 79‐ A"
"X 35‐ D","X 80‐ A"
"X 36‐ E","X 81‐ B"
"X 37‐ C","X 82‐ D"
"X 38‐ A","X 83‐ D"
"X 39‐ A","X 84‐ A"
"X 40‐ D","X 85‐ C"
"X 41‐ B","X 86‐ D"
"X 42‐ D","X 87‐ B"
"X 43‐ B","X 88‐ E"
"X 44‐ E","X 89‐ E"
"X 45‐ B","X 90‐ A"
